punkt_id,station,strecke,seite,art,foto1,foto2,foto3,foto4,foto5,erfassungsdatum,erfasser,neu_oder_bestand,gnss_tauglichkeit,ril_konformitaet,status,einmessskizze,dbref_x,dbref_y,gk_zone,gps_latitude,gps_longitude,hoehe,gps_accuracy,ps0_vermarkungsart,ps0_vermarkungstraeger,ps0_andere_vermarkungsart,ps0_andere_vermarkungstraeger,ps1_vermarkungstraeger,ps1_andere_vermarkungstraeger,ps2_vermarkungsart,ps2_vermarkungstraeger,ps2_andere_vermarkungstraeger,ps3_vermarkungsart,ps3_vermarkungstraeger,ps3_andere_vermarkungsart,ps3_andere_vermarkungstraeger,ps4_vermarkungsart,ps4_gv_bolzen_traeger,ps4_messmarke_traeger,ps4_allgemeiner_traeger,ps4_gv_bolzen_laenge,ps4_hoehe_ueber_so,ps4_target_vorhanden,ps4_target_zustand,ps4_target_offset,ps4_mast_nummer,ps4_andere_traeger,lhp_tp_vermarkungsart,lhp_tp_vermarkungstraeger,lhp_tp_andere_vermarkungsart,lhp_tp_andere_vermarkungstraeger,bemerkungen,projekt_nummer
81-29T,,5321,Links,PS4,fotos/20260217_131803_81-29_1.jpg,fotos/20260217_131803_81-29_2_overlay.jpg,,,,2026-02-17T13:18:18.172523,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448694,10.284682,415.6,18.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,,81-29,,,,,,171,28G0549110
81-30T,,5321,Rechts,PS4,fotos/20260217_131630_81-30_1.jpg,fotos/20260217_131630_81-30_2_overlay.jpg,,,,2026-02-17T13:16:44.840311,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448682,10.284648,415.6,22.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-30,,,,,,171,28G0549110
81-31T,,5321,Links,PS4,fotos/20260217_131947_81-31_1.jpg,fotos/20260217_131947_81-31_2_overlay.jpg,,,,2026-02-17T13:20:03.298762,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448678,10.285038,415.6,15.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-31,,,,,,"171
",28G0549110
81-32T,,5321,Rechts,PS4,fotos/20260217_131401_81-32_1.jpg,fotos/20260217_131401_81-32_2_overlay.jpg,,,,2026-02-17T13:14:16.060663,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448649,10.283728,415.6,12.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-32,,,,,,171,28G0549110
81-33T,,5321,Links,PS4,fotos/20260217_132217_81-33_1.jpg,fotos/20260217_132217_81-33_2_overlay.jpg,,,,2026-02-17T13:22:33.304723,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448613,10.285332,415.6,30.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,,81-33,,,,,,171,28G0549110
81-34T,,5321,Rechts,PS4,fotos/20260217_131150_81-34_1.jpg,,,,,2026-02-17T13:12:10.908142,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448735,10.28539,415.6,16.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,30.0,true,Intakt,,81-34,,,,,,171,28G0549110
82-10T,,5321,Rechts,PS4,fotos/20260217_125533_82-10_1.jpg,fotos/20260217_125533_82-10_2_overlay.jpg,,,,2026-02-17T12:55:54.101368,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448428,10.280945,413.9,20.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-10,,,,,,Code 171,28G0549110
82-11T,,5321,Rechts,PS4,fotos/20260217_145621_82-11_1.jpg,fotos/20260217_145621_82-11_2_overlay.jpg,,,,2026-02-17T14:56:36.737491,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.448335,10.280093,413.8,11.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,20.0,true,Intakt,20.0,82-11,,,,,,Code 171,28G0549110
82-12T,,5321,Rechts,PS4,fotos/20260217_125352_82-12_1.jpg,fotos/20260217_125352_82-12_2_overlay.jpg,,,,2026-02-17T12:54:07.550729,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449424,10.277148,413.9,25.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,40.0,true,Intakt,20.0,82-12,,,,,,Code 171,28G0549110
82-13T,,5321,Rechts,PS4,fotos/20260217_145435_82-13_1.jpg,fotos/20260217_145435_82-13_2_overlay.jpg,,,,2026-02-17T14:54:52.289020,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449517,10.276573,413.8,47.0,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,82-13,,,,,,Code 171,28G0549110
82-14T,,5321,Rechts,PS4,fotos/20260217_125209_83-14_1.jpg,fotos/20260217_125209_83-14_2_overlay.jpg,,,,2026-02-17T12:52:25.455565,User,Neupunkt,,Ja,Intakt,Keine Punktbeschreibung,,,,49.449567,10.27673,413.9,32.5,,,,,,,,,,,,,,GV-Bolzen,Mast,,,PS4GvBolzenLaenge.mm40,50.0,true,Intakt,20.0,83-14,,,,,,Code 171,28G0549110
